RNA	Degree	Degree Rank	Sign
AR	99.0	27	-
PKIB	89.0	28	-
POU5F1	80.0	29	-
NKAIN1	79.0	30	-
SYTL5	77.0	31	-
SERPINA11	76.0	32	-
C9orf152	75.0	33	-
SRARP	75.0	34	-
BBOX1	75.0	35	-
IRF4	75.0	36	-
UBXN10	72.0	37	-
BANK1	71.0	38	-
SCNN1A	68.0	39	-
PCP2	65.0	40	-
DACH1	65.0	41	-
GREB1	63.0	42	-
LONRF2	62.0	43	-
CAPN8	57.0	44	-
DNAAF3	56.0	45	-
SIT1	56.0	46	-
SCUBE2	55.0	47	-
CACNA1D	55.0	48	-
KRT37	54.0	49	-
TAFA3	47.0	50	-
B3GALT1	41.0	51	-
IGF1	37.0	52	-
ICOS	37.0	53	-
PPARG	36.0	54	-
SLC26A9	35.0	55	-
MAG	32.0	56	-
TOX3	31.0	57	-
RBBP8NL	29.0	58	-
SVEP1	29.0	59	-
CYSRT1	28.0	60	-
CCR7	27.0	61	-
RAB6C	26.0	62	-
FAM13C	26.0	63	-
PTH1R	26.0	64	-
JPH2	26.0	65	-
ITGA7	26.0	66	-
CXCL9	26.0	67	-
ADGRB2	25.0	68	-
NCMAP	25.0	69	-
GZMM	25.0	70	-
RIIAD1	24.0	71	-
PROM1	24.0	72	-
HSPB7	23.0	73	-
NUF2	22.0	74	-
MGAM2	22.0	75	-
FLRT2	22.0	76	-
GP2	21.0	77	-
KCNIP2	21.0	78	-
ARRDC5	21.0	79	-
HPDL	19.0	80	-
TRPM8	19.0	81	-
DOK7	18.0	82	-
GPRIN2	18.0	83	-
GDF15	17.0	84	-
PPM1J	16.0	85	-
FSTL4	16.0	86	-
PPP2R2B	16.0	87	-
PR	15.0	88	-
RAB19	14.0	89	-
DNAH5	14.0	90	-
FOXM1	13.0	91	-
RGS22	13.0	92	-
MFSD4A	13.0	93	-
BIRC5	12.0	94	-
SLC12A3	12.0	95	-
CCL17	11.0	96	-
PLAC1	10.0	97	-
BIK	10.0	98	-
SUSD3	9.0	99	-
CFAP45	9.0	100	-
METRN	8.0	101	-
C5orf49	7.0	102	-
KIF2C	7.0	103	-
MYT1	7.0	104	-
ADAMTS15	7.0	105	-
SYT8	7.0	106	-
TPRG1	7.0	107	-
LEP	7.0	108	-
HSH2D	6.0	109	-
FHOD3	6.0	110	-
DEUP1	6.0	111	-
SLPI	5.0	112	-
ANKRD30A	4.0	113	-
CENPA	4.0	114	-
NCCRP1	4.0	115	-
PLIN1	4.0	116	-
TP63	4.0	117	-
SEMA3B	4.0	118	-
CDC45	3.0	119	-
MB	3.0	120	-
VIT	3.0	121	-
CHST9	3.0	122	-
KLHL13	3.0	123	-
CYTL1	3.0	124	-
MAOA	3.0	125	-
GALNT12	3.0	126	-
IL20	2.0	127	-
SLC7A2	2.0	128	-
ANGPTL4	2.0	129	-
PHKG1	2.0	130	-
CA9	2.0	131	-
WDR93	2.0	132	-
FAXDC2	2.0	133	-
EDN1	2.0	134	-
CCL22	2.0	135	-
VTCN1	1.0	136	-
FAM110C	1.0	137	-
CCDC148	1.0	138	-
PGLYRP2	1.0	139	-
FUT3	1.0	140	-
INAVA	1.0	141	-
DNAJC5B	1.0	142	-
CLPSL1	1.0	143	-
COLCA1	1.0	144	-
SPAG17	1.0	145	-
ALDH3B2	1.0	146	-
KRT23	1.0	147	-
CACNA1H	1.0	148	-
SCTR	1.0	149	-
GALR1	1.0	150	-
MSMB	1.0	151	-
CCN5	1.0	152	-
FAM180A	1.0	153	-
CPEB1	1.0	154	-
HAP1	1.0	155	-
S100A9	1.0	156	-
PIK3C2G	1.0	157	-
PFKFB1	1.0	158	-
LIPC	1.0	159	-
